"","Slice","Count","Total Area","Average Size","%Area","Mean","Perim.","Circ.","Solidity","hippo_area","Treatment","Gender"
"365","C2-AD175_6E10_2_DG.oir",5,148.315,29.663,0.009,255,16.137,0.97,0.922,"DG","SHAM","F"
"366","C2-AD073_6E10_2_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","M"
"367","C2-AD175_6E10_3_DG.oir",1,26.264,26.264,0.002,255,17.277,1,0.919,"DG","SHAM","F"
"368","C2-AD175_6E10_4_DG.oir",1,35.534,35.534,0.002,255,20.792,1,0.885,"DG","SHAM","F"
"369","C2-AD182_6E10_1_DG.oir",0,0,NA,0,NA,NA,NA,NA,"DG","SHAM","F"
"370","C2-AD182_6E10_2_DG.oir",2,15.45,7.725,0.0009537,255,8.789,1,0.9,"DG","SHAM","F"
"371","C2-AD182_6E10_4_DG.oir",6,525.284,87.547,0.032,255,33.009,0.914,0.903,"DG","SHAM","F"
"372","C2-AD182_6E10_5_DG.oir",9,196.209,21.801,0.012,255,15.862,0.962,0.885,"DG","SHAM","F"
"373","C2-AD110_6E10_1_CA1.oir",4,631.886,157.971,0.039,255,55.816,0.751,0.811,"CA1","AD","M"
"374","C2-AD146_6E10_4_CA1.oir",2,71.068,35.534,0.004,255,20.277,1,0.927,"CA1","AD","F"
"375","C2-AD276_6E10_2_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"376","C2-AD276_6E10_3_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"377","C2-AD276_6E10_4_CA1.oir",0,0,NA,0,NA,NA,NA,NA,"CA1","AD","M"
"378","C2-AD110_6E10_4_CA1.oir",5,341.434,68.287,0.021,255,29.983,0.889,0.869,"CA1","AD","M"
"379","C2-AD276_6E10_5_CA1.oir",2,89.607,44.804,0.006,255,20.277,1,0.964,"CA1","AD","M"
